"filename", "language", "JSON", "TypeScript", "CSS", "HTML", "Markdown", "JavaScript", "comment", "blank", "total"
"c:\my file\sviluppo\FE_2021\fantacalcio\src\app\services\auth.service.ts", "TypeScript", 0, 37, 0, 0, 0, 0, 0, 8, 45
"c:\my file\sviluppo\FE_2021\fantacalcio\src\app\services\message-site.service.ts", "TypeScript", 0, 16, 0, 0, 0, 0, 0, 6, 22
"c:\my file\sviluppo\FE_2021\fantacalcio\src\app\services\modifier.service.ts", "TypeScript", 0, 36, 0, 0, 0, 0, 0, 14, 50
"c:\my file\sviluppo\FE_2021\fantacalcio\src\app\services\roleplayers.service.ts", "TypeScript", 0, 13, 0, 0, 0, 0, 0, 4, 17
"c:\my file\sviluppo\FE_2021\fantacalcio\src\app\services\season.service.ts", "TypeScript", 0, 29, 0, 0, 0, 0, 0, 7, 36
"c:\my file\sviluppo\FE_2021\fantacalcio\src\app\services\teams.service.ts", "TypeScript", 0, 31, 0, 0, 0, 0, 0, 8, 39
"c:\my file\sviluppo\FE_2021\fantacalcio\src\app\services\token-storage.service.ts", "TypeScript", 0, 26, 0, 0, 0, 0, 0, 12, 38
"c:\my file\sviluppo\FE_2021\fantacalcio\src\app\ui\footer\footer.component.css", "CSS", 0, 0, 5, 0, 0, 0, 0, 0, 5
"c:\my file\sviluppo\FE_2021\fantacalcio\src\app\ui\footer\footer.component.html", "HTML", 0, 0, 0, 16, 0, 0, 6, 6, 28
"c:\my file\sviluppo\FE_2021\fantacalcio\src\app\ui\footer\footer.component.spec.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 6, 26
"c:\my file\sviluppo\FE_2021\fantacalcio\src\app\ui\footer\footer.component.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 0, 5, 16
"c:\my file\sviluppo\FE_2021\fantacalcio\src\app\ui\header\header.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\my file\sviluppo\FE_2021\fantacalcio\src\app\ui\header\header.component.html", "HTML", 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\my file\sviluppo\FE_2021\fantacalcio\src\app\ui\header\header.component.spec.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 6, 26
"c:\my file\sviluppo\FE_2021\fantacalcio\src\app\ui\header\header.component.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 0, 5, 16
"c:\my file\sviluppo\FE_2021\fantacalcio\src\app\ui\navbar\navbar.component.css", "CSS", 0, 0, 3, 0, 0, 0, 2, 0, 5
"c:\my file\sviluppo\FE_2021\fantacalcio\src\app\ui\navbar\navbar.component.html", "HTML", 0, 0, 0, 23, 0, 0, 2, 5, 30
"c:\my file\sviluppo\FE_2021\fantacalcio\src\app\ui\navbar\navbar.component.spec.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 6, 26
"c:\my file\sviluppo\FE_2021\fantacalcio\src\app\ui\navbar\navbar.component.ts", "TypeScript", 0, 29, 0, 0, 0, 0, 0, 6, 35
"c:\my file\sviluppo\FE_2021\fantacalcio\src\app\user\login\login.component.css", "CSS", 0, 0, 14, 0, 0, 0, 0, 0, 14
"c:\my file\sviluppo\FE_2021\fantacalcio\src\app\user\login\login.component.html", "HTML", 0, 0, 0, 28, 0, 0, 0, 4, 32
"c:\my file\sviluppo\FE_2021\fantacalcio\src\app\user\login\login.component.spec.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 6, 26
"c:\my file\sviluppo\FE_2021\fantacalcio\src\app\user\login\login.component.ts", "TypeScript", 0, 62, 0, 0, 0, 0, 27, 12, 101
"c:\my file\sviluppo\FE_2021\fantacalcio\src\app\user\signin\signin.component.css", "CSS", 0, 0, 29, 0, 0, 0, 0, 0, 29
"c:\my file\sviluppo\FE_2021\fantacalcio\src\app\user\signin\signin.component.html", "HTML", 0, 0, 0, 54, 0, 0, 0, 2, 56
"c:\my file\sviluppo\FE_2021\fantacalcio\src\app\user\signin\signin.component.spec.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 6, 26
"c:\my file\sviluppo\FE_2021\fantacalcio\src\app\user\signin\signin.component.ts", "TypeScript", 0, 44, 0, 0, 0, 0, 1, 7, 52
"c:\my file\sviluppo\FE_2021\fantacalcio\src\app\user\signup\signup.component.css", "CSS", 0, 0, 30, 0, 0, 0, 0, 1, 31
"c:\my file\sviluppo\FE_2021\fantacalcio\src\app\user\signup\signup.component.html", "HTML", 0, 0, 0, 74, 0, 0, 0, 0, 74
"c:\my file\sviluppo\FE_2021\fantacalcio\src\app\user\signup\signup.component.spec.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 6, 26
"c:\my file\sviluppo\FE_2021\fantacalcio\src\app\user\signup\signup.component.ts", "TypeScript", 0, 55, 0, 0, 0, 0, 5, 10, 70
"c:\my file\sviluppo\FE_2021\fantacalcio\src\app\user\status\status.component.css", "CSS", 0, 0, 22, 0, 0, 0, 0, 0, 22
"c:\my file\sviluppo\FE_2021\fantacalcio\src\app\user\status\status.component.html", "HTML", 0, 0, 0, 5, 0, 0, 0, 1, 6
